generation,num_individuals_total,loss_min,loss_avg,loss_max,fundamental_loss_min,fundamental_loss_avg,fundamental_loss_max,toots_loss_min,toots_loss_avg,toots_loss_max,brightness_loss_min,brightness_loss_avg,brightness_loss_max
0,15,10.477380613182465,12.3258803831967,14.95192232673864,0.4012577168144116,1.1963597305128266,3.8790510731588146,0.2322609277258625,0.6381635022039056,0.8273742456714706,9.026660894754249,10.491357150479969,10.883574598340108
1,28,9.272238539501512,11.862200026116037,12.763784133456554,0.16699002049147538,0.9531791671116565,2.2311038653848136,0.23025690626431672,0.6687051972513884,1.2541882357126655,8.354517063438601,10.240315661752993,11.313693553624466
2,54,9.272238539501512,11.240863888702638,12.058007065585127,0.009546667064235237,1.124425214209824,2.952930815397581,0.09613041510497133,0.5652075316109967,1.2541882357126655,7.936616698314676,9.551231142881818,11.426341586192617
3,90,9.17696847840918,10.84702432111096,11.800705105261303,0.16699002049147538,1.1051088567967642,2.6212751601276807,0.2218563921190686,0.5393143333961518,1.2541882357126655,7.936616698314676,9.202601130918044,10.560947272372132
4,165,9.17696847840918,10.329565961218039,11.133431898487158,0.04937893935120563,0.711752500687405,2.2311038653848136,0.09464700504847379,0.5298652353518272,1.2541882357126655,7.584742814443903,9.087948225178808,10.183157402360496
5,265,8.594885213081913,10.017546925653203,10.7235807335264,0.04937893935120563,0.6499951717875638,2.2311038653848136,0.09464700504847379,0.4786220216015334,1.2541882357126655,7.584742814443903,8.888929732264108,9.806886981979245
6,365,8.594885213081913,9.682707426075593,10.271105577718117,0.04937893935120563,0.6239768445411076,1.9388176432237803,0.016456363803647456,0.3461044053272373,1.2541882357126655,7.584742814443903,8.712626176207248,9.806886981979245
7,465,8.594885213081913,9.542868209529301,10.126206533579783,0.04937893935120563,0.5612204884704544,1.497033997567776,0.016456363803647456,0.3777041239799992,1.2541882357126655,7.584742814443903,8.603943597078848,9.743522508876977
8,565,8.594885213081913,9.39752616007424,9.830721952639063,0.04937893935120563,0.46428145849839675,1.497033997567776,0.016456363803647456,0.346626244917003,0.9157739472761817,7.584742814443903,8.58661845665884,9.648854323380617
9,665,8.594885213081913,9.330305135808995,9.75057749485731,0.04937893935120563,0.37520689661928497,1.2686384742715529,0.016456363803647456,0.3403020826718226,0.9157739472761817,7.584742814443903,8.614796156517889,9.648854323380617
10,765,8.44982287741723,9.071410868820253,9.499105430934184,0.04937893935120563,0.45372913876629717,1.4400480101033875,0.08157243800546166,0.32562876156889375,0.9157739472761817,7.1898573045831835,8.292052968485063,8.898739562427268
11,865,8.100377618569382,8.876507016459877,9.223630321632864,0.04937893935120563,0.3696860499348116,1.4400480101033875,0.047218610563422025,0.3057815281362153,0.9157739472761817,7.1898573045831835,8.20103943838885,8.849285425389382
12,965,8.100377618569382,8.727742274465445,9.133748526114593,0.04937893935120563,0.3418213738929672,1.4400480101033875,0.09613041510497133,0.36116969071707583,0.9157739472761817,7.1898573045831835,8.0247512098554,8.579860646672149
13,1000,7.945161413613717,8.663231489304984,9.058928483399793,0.04937893935120563,0.32991464475600685,1.4400480101033875,0.09612371452635049,0.347157304287782,0.9157739472761817,7.024516914121293,7.986159540261196,8.611219453310737
14,1000,7.945161413613717,8.62716735036069,9.028217171147118,0.04937893935120563,0.3289559613062547,1.4400480101033875,0.09612371452635049,0.3585096936727128,0.9157739472761817,7.024516914121293,7.939701695381723,8.611219453310737
15,1000,7.945161413613717,8.591518244232901,8.970362432131672,0.04937893935120563,0.35989087122947616,1.4400480101033875,0.05534311676224313,0.38278613254940863,0.9157739472761817,7.024516914121293,7.848841240454017,8.579860646672149
16,1000,7.7948048878524645,8.505026776146414,8.918244136983482,0.009546667064235237,0.346154085981492,1.4400480101033875,0.05534311676224313,0.34958920041342734,0.9157739472761817,7.024516914121293,7.809283489751496,8.579860646672149
17,1000,7.7948048878524645,8.47804941802508,8.868157689242395,0.009546667064235237,0.2849660502367213,1.4400480101033875,0.05534311676224313,0.3404683770759396,0.9157739472761817,7.024516914121293,7.8526149907124205,8.579860646672149
18,1000,7.7948048878524645,8.40508945130277,8.734655989018641,0.009546667064235237,0.284468124003463,1.4400480101033875,0.08590355504006997,0.30677564913865285,0.8221640791723406,7.024516914121293,7.813845678160652,8.579860646672149
19,1000,7.7948048878524645,8.33703542537587,8.620471950100173,0.009546667064235237,0.21094741552660246,0.7229834457454931,0.016456363803647456,0.316236276714539,0.8221640791723406,7.024516914121293,7.809851733134728,8.377168171678976
20,1000,7.7948048878524645,8.331097550729314,8.594885213081913,0.009546667064235237,0.20941426100415317,0.6923203552965074,0.016456363803647456,0.3103809908251891,0.8221640791723406,7.024516914121293,7.81130229889997,8.377168171678976
21,1000,7.750587007194052,8.249086611268748,8.546639598622736,0.009546667064235237,0.20352966849206267,0.6923203552965074,0.016456363803647456,0.2745698095010063,0.8187423033623054,7.024516914121293,7.77098713327568,8.377168171678976
